"nome_cientifico","listavermelha","port443","inmma2014","port561","portmma_148_2022","volume","uf","ano"
apuleia leiocarpa,VU,VU,,VU,VU,3426.4158000000000005,AM,2020.0
peltogyne paradoxa,,,,,VU,461.8722,PA,2016.0
ocotea odorifera,EN,EN,,EN,EN,66.2980,PA,2007.0
erisma fuscum,,,,,EN,474.7975,RR,2013.0
euxylophora paraensis,CR,CR,,CR,EN,109.464,RO,2013.0
apuleia leiocarpa,VU,VU,,VU,VU,11117.0161000000000147,RO,2019.0
cedrela odorata,VU,VU,VU,VU,VU,7312.3659,RO,2013.0
bertholletia excelsa,VU,VU,,VU,VU,5944.0023,PA,2012.0
cedrela odorata,VU,VU,VU,VU,VU,6614.3120000000000330,AM,2007.0
vouacapoua americana,EN,EN,,EN,EN,49.3725,RO,2017.0
cedrela fissilis,VU,VU,VU,VU,VU,394.343,MT,2008.0
virola surinamensis,VU,VU,,VU,VU,146.295,RO,2012.0
cariniana legalis,EN,EN,,EN,EN,324.1869,PA,2008.0
manilkara bella,EN,,,,,222.46,MT,2016.0
virola surinamensis,VU,VU,,VU,VU,49.1590000000000001,AC,2012.0
lafoensia glyptocarpa,,,,,EN,378.0940,PA,2014.0
ocotea odorifera,EN,EN,,EN,EN,2735.6921,MT,2016.0
hymenaea parvifolia,VU,VU,,VU,VU,2160.9527999999999935,PA,2019.0
bertholletia excelsa,VU,VU,,VU,VU,4085.960599999999985,PA,2016.0
cedrela odorata,VU,VU,VU,VU,VU,15770.0808,PA,2010.0
hymenaea parvifolia,VU,VU,,VU,VU,4469.1417999999999992,PA,2016.0
hymenolobium excelsum,VU,VU,,VU,VU,14893.3827999999999957,RO,2019.0
cedrela odorata,VU,VU,VU,VU,VU,16673.7621999999999926,PA,2009.0
cariniana legalis,EN,EN,,EN,EN,1843.8824,MT,2013.0
hymenolobium excelsum,VU,VU,,VU,VU,12305.1697000000000184,PA,2019.0
apuleia leiocarpa,VU,VU,,VU,VU,8035.96640000000004443,AC,2011.0
cedrela fissilis,VU,VU,VU,VU,VU,1.9,RR,2018.0
qualea magna,EN,EN,,,EN,50.000,MT,2015.0
eriotheca longipedicellata,,,,,VU,511.3507,PA,2019.0
vochysia eximia,,,,,VU,286.032999999999999,AP,2009.0
hymenolobium excelsum,VU,VU,,VU,VU,33787.8339,MT,2019.0
eriotheca longipedicellata,,,,,VU,70.223,RO,2016.0
mezilaurus itauba,VU,VU,,VU,VU,1875.4037999999999941,AP,2011.0
cariniana legalis,EN,EN,,EN,EN,25.104,AC,2012.0
hymenolobium excelsum,VU,VU,,VU,VU,8388.3334000000000065,PA,2016.0
erisma fuscum,,,,,EN,17.189,AP,2018.0
eriotheca longipedicellata,,,,,VU,694.9726,PA,2016.0
eschweilera compressa,EN,EN,,,EN,189.798000000000003,AM,2010.0
ocotea fragrantissima,,,,,EN,41.2230,RR,2009.0
melanoxylon brauna,VU,VU,,,VU,14.251,MT,2006.0
pterodon apparicioi,,,,,EN,229.7620,PA,2012.0
ocotea fragrantissima,,,,,EN,52.3139000000000005,AM,2013.0
